,ID,text,result
112,DE19DTOL,"At that time, I was isolated and feeling alone",Depression
113,DG908K5U,How can I be able to trust again?,Depression
114,DGDIRALY,Is it bad to commit suicide?,Drugs
115,DI4P2QQX,Effects of too much consumption of alcohol and how to get rid of it,Alcohol
116,DKVGD1IJ,why would suicide ring in my mind,Suicide
117,DODZ41OP,How will you assist young generation to avoid alcohol,Alcohol
118,DPJ4OEC9,how can I overcome my depression,Depression
119,DT2E8Z0Y,Why are most of my friends ignoring me? why is it I am going through much in life compared to others,Alcohol
120,DWV43DRV,Why do I have to repeat a unit yet attend all classes?,Drugs
121,DYI2P5P3,does everyone get depressed,Depression
122,DYVKY1ON,Why do campus ladies like being unfaithful to their patners,Depression
123,E0VNIWL4,What would really cause me to commit?,Suicide
124,E41VQ01H,How to minimize alcohol intake,Alcohol
125,E5KD22KF,how do I overcome the depression,Depression
126,E6RVMA41,Does God really exist?,Suicide
127,EE5FDBNM,What can I do to avoid the influence of taking alcohol from friends?,Drugs
128,EIDANND5,I feel a lot of bitterness and resentment,Depression
129,EY6IC0E4,I feel sad and confused,Depression
130,F33BM4FZ,what motivates people to take alcohol,Alcohol
131,F49KVD16,What is the effect of alcohol to my health,Alcohol
132,F4M78KUC,I was frustrated after giving birthNow I appreciate motherhood,Depression
133,F7AI3ZLC,What causes suicidal thoughts?,Suicide
134,FFO4UILJ,I asked many people if it is worthy killing oneself ,Suicide
135,FHJ1IH58,I feel like the world is pointing fingers at me,Depression
136,FKJB1707,Lost my girlfriend during a holiday,Depression
137,FPVU61TO,How can I stop taking bhang?,Drugs
138,FRZBEQH7,Can I stop taking drugs?,Alcohol
139,FUOOXD1M,A lack of School fees making me  fail my examinations,Depression
140,FV80RL12,I have a feeling that I failed terribly,Depression
141,G1QBYL4O,what was wrong with my life,Suicide
142,GC265VS9,have you ever tasted alcohol once in your life,Alcohol
143,GFM2D42Q,I feel the urge of vengeance after being cheated on by my boyfriend,Depression
144,GGNQOSTW,I hate myself and everyone around me somehow,Depression
145,GGX9MUZS, restless and absent minded,Depression
146,GHKPUMG2,Can I get better,Suicide
147,GIBCN23O,I would like to know how to stop a drinking habit,Alcohol
148,GNTLJ0E7,does  drinking sove your  emotional problems,Alcohol
149,GT67A35X,I have negative thoughts about my life…I want to know how o control my thoughts so I can stop fretting about life and start living,Depression
150,GTF1GHCS,"I feel stagnated, should I be a street child?",Depression
151,GW73P4MY, what are the effects of alcohol in my life?,Alcohol
152,GX06HFUO,How to cope with stress,Depression
153,H4ATKPDS,i feel low and helplessStill not okay,Depression
154,H4L5M9EC,how to avoid drugs,Alcohol
155,HB2GBCNY,"Will i ever have peace of mind, since i am facing many and tough challenges",Suicide
156,HFHX9FY3,How do you cope with depression?,Depression
157,HNOBGMQR,How to stop drinking,Alcohol
158,HORZOP1I,Effects brought about by depression,Depression
159,HT3X6CBT,I feel life is so unfair,Depression
160,HZ481ZV9,Is alcohol a solution to stress,Alcohol
161,I4QJFX7S,Will people judge me for trying to take my life,Suicide
162,I7C5YIBV,how can a person stop drinking alcohol,Alcohol
163,I8XKEO6Q,What are the effects of alcoholism?,Alcohol
164,ICAT0M7H,Why is life so unfair?,Alcohol
165,IJ2CEKCQ,What can I do to clear my mind?,Depression
166,IJHBPXRO, I just feel like not doing anything,Depression
167,IRVOJF0A,Death of My sister ,Suicide
168,ITPITEXJ,I never sought for assistance for this. I was scared too. I planned to go for assistance but found someone else in session and went away,Depression
169,IV09XHLO,how can I find comfort in my own mental situation,Depression
170,IZ0BUDDN,I'm not sure whether it is depression or something else,Depression
171,J4VYS10W,What do I gain after taking alcohol,Alcohol
172,J89G2EAB,What am I to benefit if I commited?,Depression
173,JGI2B1K2,How can I do away with the issue of taking alcohol?,Depression
174,JJSOMO3W,How to quit the habit of drinking,Alcohol
175,JTTTLHQZ,What are the effects of bhang in real life?,Drugs
176,JY50ZNP9,I never asked for assistance,Depression
177,K0732B8A, I was about to die ,Depression
178,K1N9Q5UD,Is alcohol good for my health? What other things I can do to tackle my problems rather than use of alcohol.,Depression
179,K4YUOEO3,Can I make it through?,Depression
180,K6LT8NSF,feel lonely and stressed,Depression
181,K7PGBHJ1,Why do I want to commit suicide?,Depression
182,K83YUYRB,My parents are hostile…Overcoming depression,Depression
183,KCCMSUEO,What can I do to stop alcohol indulgence,Alcohol
184,KFXWZ5UZ,Why do my friends take alcohol,Alcohol
185,KO185AS3,Why is life so hard?,Suicide
186,KOHTZ87Y,I am always unhappy,Depression
187,KRK4V810,what life of alcohol is better,Alcohol
188,KXANZF15,What are the conditions that make someone to be involved in bhang taking,Suicide
189,L21RGZEA,How can i stop drug abuse?,Drugs
190,LA7HU1TD,How can I start feeling great about myself without smoking weed?,Depression
191,LDQPDSEQ,I have too much debt,Depression
192,LDXD2SH6, Then I feel that life made no sense Now I feel that I need to find a better way to deal with it,Depression
193,LFTDM9RL,What are the side effects  of anger,Suicide
194,LILA0SH7,How can i sustain my needs with less amounts of money,Depression
195,LNMBLTH4,How can I get a long lasting solution to depression?,Depression
196,LREDNA2Z,How can I cope with stress without taking alcohol?,Drugs
197,LU8M98TQ,what can I replace with taking drugs?,Alcohol
198,LURBO1AA,I wanted to jump off a building or drink sleeping pills,Depression
199,M1H2TZHZ,I feel depressed,Depression
200,MGGGVEEK,What are the ways to get out of alcoholism,Suicide
201,MHZNTK7J,Should I continue or minimize taking alcohol?,Alcohol
202,MOR6QVHM,"Confused, devastated and I feel so alone My self-esteem is so lowt",Depression
203,MZ0W3E21,Should I commit suicide,Suicide
204,N0M5HFZ4,"I feel stressed,lost hope",Depression
205,N3RP8SW2,What will my family think of me when they foind out that I take alcohol?,Depression
206,N4MHVE6D, Lack of funds,Depression
207,N6AYNOKV,Is alcohol a possible way out of a devastating situation,Alcohol
208,N82L56BF,I feel oppressed and helplessI feel now happy,Depression
209,N9K4UUS4,If commiting suicide would sort all of my problems?,Suicide
210,NAF8DOAZ,I haveI feel so weak and left out,Depression
211,NAFC0V61,what are the effects of blacking out from alcohol,Alcohol
212,NBH3E9YH,will I get help?,Suicide
213,NE6LYAT9,Can I stop taking weed?,Drugs
214,NKILW1NP,I am so emotional,Depression
215,O7K8KU2O,Did my parents give birth to me inorder for me to suffer like this.,Depression
216,OHRCIS8J,how to stay away from alcohol,Alcohol
217,OKHQWFS5,"How can I stop taking alcohol, effects of alcohol in my life",Alcohol
218,OMAPSLZT,I feel discouraged,Depression
219,OOY8GDRH,I feel there was no reason to continue living,Depression
220,OPZP8AD6,I had to call off the semester and defer because of financial constraints…Am I too old to resume back to school after deferrin the semester after a lac of school fees,Suicide
221,OQ3TLQ4J,How do I seek counselling.,Depression
222,OUREQSFZ,Is it normal to have suicidal thoughts?,Depression
223,OWAUAIR6,I feel so down and empty,Depression
224,OWJE6CPQ,Is it bad to commit suicide?,Drugs
225,P6Y2IXU4,What does one do to avoid alcohol after taking it,Drugs
226,PCRO6970,How can I stop stressing?,Drugs
227,PCRSZ9UV,I feel like a piece of shit,Depression
228,PGGZ2N8A, Relationship issues,Depression
229,PHH1ERZG,I was completely downrecovering and way better,Suicide
230,PM7CUC6D,I feel like taking away my life,Depression
231,PM8EMAGV,How to manage depression,Depression
232,PRURL087,What will I do to get out of depression?,Depression
233,PT0X6CU5,I feel so bad because I had sleepless nightsi'm feeling better,Depression
234,PUVTNFYO,Why should someone keep drinking even if someone is not interested,Alcohol
235,PYTVXEF9,Who was to pay my school fees?,Suicide
236,PZ024QY0,how can I avoid it,Alcohol
237,Q4WRS0PQ, how can you convince someon who is about to commit suicide,Depression
238,Q7OA0QNU, I am  experiencing low self-esteem,Depression
239,QHA0QIDB,How do I make friends when depressed?,Depression
240,QNVFKVPO,I  feel like the whole world is crumbling down as each day life is becoming more and more hard,Depression
241,QSI99X2N,I feel as if the world is against me,Depression
242,QTD01ME7,Why was I even born?,Suicide
243,QWEPGVLE,"Lack of school fees, which made me defer my studies and my dad refusing to pay my fees because he hates me",Depression
244,R5TQVK1E,Hatred and guilt,Depression
245,R7X390UC,I am feeling broke,Depression
246,RBDC9TXE,Is taking small quantities of alcohol considered harmful?,Alcohol
247,RBJKAVC6,how can I abstain from bad company,Alcohol
248,RBU7ND89,Can I manage to live once again?,Depression
249,RMOUHSEU,Which is the right alcohol for me?,Alcohol
250,RRFBVOW9,"I feel very low emotionally,with a lot of anger and sadness",Depression
251,RT2TOM8I,How will my guardians react to my difficult  situation,Alcohol
252,S3S91EPE,I feel so down and overwhelmed,Depression
253,S86OIM9K,"I feel low,could not actively do daily activites at home or go out with friends",Depression
254,SAPK1D54,How can i recover from alcohol?,Alcohol
255,SC9WIG5M,I feel very sad and lack the strength to do good in my life,Depression
256,SE85CBXL,Depressed due to not achieving beyond my expectations,Suicide
257,SELKNMCN,What does bhang do to your body?,Drugs
258,SF4BGQSH,"Emptiness,worthlesness,unhappy most of the time",Suicide
259,SKWI5DBU,What can i do to avoid my friends and does bhang has effects?,Alcohol
260,SLAB1M8M,I feel lost,Depression
261,SN0Y3CB9,How to overcome the situation?,Suicide
262,SNVUHXY1,I feel bad and view life negatively,Depression
263,SQJTBF4L,I feel bored and awkward ,Depression
264,SXWT5DIS,Will people judge me for trying to take my life,Suicide
265,TC5Z7J76,What could i do to quit taking alcohol,Drugs
266,TUI47XO3,How can I avoid alcoholism,Alcohol
267,UA7A354V,Is bhang important in health issues?,Alcohol
268,UPST0OK2, I  feel depressed because my problems aren't over yet everyday is a challenge to wake up and face life ,Depression
269,USO2MI7J,how will I overcome challenges,Alcohol
270,V0A2N0K5,Can I ever get better from depression?,Depression
271,V26UYHV9, Would weed help me relax  my mind ?,Suicide
272,VB7VFL75,How to stop this addiction?,Alcohol
273,VIV8YU3K,I am too stressed,Depression
274,VLMY8JHQ,can I get saved from alcohol?,Alcohol
275,VT4U2VXD,I am sad and traumatized,Depression
276,VUWHXYI6,I feel terrible,Depression
277,VVD03CXJ,I feel lonely,Depression
278,W2D2M625,"How do I deal with depression,should I do?",Depression
279,WDYSQ3BP, death of a family member,Depression
280,WLI8IPM8,It was a disturbing feeling,Depression
281,WOKOVI83,How can one do away with depression,Depression
282,WVGL15DG,How can i stop being a drunkard?,Drugs
283,X0016IPJ,why do I always feel heartbroken all the time,Suicide
284,X2E196ZE,"How to completely stop using alcohol, -possible effects of alcohol to my health",Alcohol
285,X72WL59G,I feel like I want to end my life,Depression
286,XDK01LYR,I am anxious of what is going to happen in the future ,Suicide
287,XLE74IX1,Can the habit be stopped at once?,Alcohol
288,XU4HGW9C,How can I stop drinking?,Alcohol
289,XUHRT8P4,I don't see the need to live in the world ,Depression
290,XXMTEUX8,How do I go about solving my problem?,Suicide
291,XYRTMPGC,I feel depressed because of lack of school fees…How can I raise money for school fees,Depression
292,Y3QTMIO7,Dumped with my boyfriend?,Depression
293,Y5S49JQ7,Asked for financial support from wellwishers,Depression
294,YAK9NY3K,how can I limit my drinking,Alcohol
295,YCHHQT18,"If a person rejects you, what would you do?",Depression
296,YDIWQZA5,Is suicide the right decision?,Suicide
297,YG9CPVR0,What can i do to pass at school? what can i do to forget about a man I love ?,Depression
298,YIJ0CEQJ,What are the effects of abusing bhang?,Drugs
299,YMT18ON6,I feel like committing suicide,Depression
300,YNOCXCJN,Measures to handle depression and feeling,Depression
301,YO2RYXV5,I feel like I've lost hope,Depression
302,YSSD2IXK,How to stop drinking?,Alcohol
303,Z78UM6R8, Financial Crisis,Depression
304,Z9A6ACLK,Yes,Depression
305,ZDUOIGKN,My girlfriend dumped me,Depression
306,ZHQ60CCH,How can I go back to being my old self?,Alcohol
307,ZVIJMA4O,Is it true bhang is  medicinal?,Drugs
308,ZYIFAY98,how can I overcome the problem?,Alcohol
